"","ymd","ym","year","code","addr_1","aptNm","jusoJibun","price","conYear","area","floor","py","cnt"
"4546",2021-01-12,2021-01-01,"2021","11350","서울_노원","상계불암대림","서울특별시 노원구 상계동 1289 상계불암대림",55000,2000,59,21,3076,1
"4547",2021-01-12,2021-01-01,"2021","11350","서울_노원","은빛2단지","서울특별시 노원구 상계동 1256 은빛2단지",50000,1998,50,7,3300,1
"4548",2021-01-13,2021-01-01,"2021","11350","서울_노원","상계신동아","서울특별시 노원구 상계동 463 상계신동아",60000,1995,85,6,2329,1
"4549",2021-01-13,2021-01-01,"2021","11350","서울_노원","두산","서울특별시 노원구 상계동 1110 두산",71000,1994,84,13,2789,1
"4550",2021-01-13,2021-01-01,"2021","11350","서울_노원","수락파크빌","서울특별시 노원구 상계동 1269 수락파크빌",85000,2001,115,4,2439,1
"4551",2021-01-13,2021-01-01,"2021","11350","서울_노원","청암2단지","서울특별시 노원구 상계동 1276 청암2단지",55000,2001,59,13,3076,1
"4552",2021-01-13,2021-01-01,"2021","11350","서울_노원","중계센트럴파크","서울특별시 노원구 상계동 1322 중계센트럴파크",92000,2016,84,15,3614,1
"4553",2021-01-13,2021-01-01,"2021","11350","서울_노원","상계주공9","서울특별시 노원구 상계동 670 상계주공9",60000,1988,50,9,3960,1
"4554",2021-01-13,2021-01-01,"2021","11350","서울_노원","상계주공10","서울특별시 노원구 상계동 666 상계주공10",54900,1988,46,9,3938,1
"4555",2021-01-13,2021-01-01,"2021","11350","서울_노원","벽산","서울특별시 노원구 상계동 173-1 벽산",39000,1989,47,8,2738,1
"4556",2021-01-13,2021-01-01,"2021","11350","서울_노원","은빛2단지","서울특별시 노원구 상계동 1256 은빛2단지",41000,1998,50,1,2706,1
"4557",2021-01-14,2021-01-01,"2021","11350","서울_노원","상계주공9","서울특별시 노원구 상계동 670 상계주공9",58500,1988,50,8,3861,1
"4558",2021-01-14,2021-01-01,"2021","11350","서울_노원","상계주공11","서울특별시 노원구 상계동 652 상계주공11",50000,1988,58,12,2845,1
"4559",2021-01-14,2021-01-01,"2021","11350","서울_노원","상계주공4","서울특별시 노원구 상계동 749-5 상계주공4",52000,1988,41,2,4185,1
"4560",2021-01-14,2021-01-01,"2021","11350","서울_노원","상계주공9","서울특별시 노원구 상계동 670 상계주공9",61500,1988,58,2,3499,1
"4561",2021-01-14,2021-01-01,"2021","11350","서울_노원","상계주공13","서울특별시 노원구 상계동 637 상계주공13",48000,1989,41,7,3863,1
"4562",2021-01-14,2021-01-01,"2021","11350","서울_노원","건영","서울특별시 노원구 상계동 1321 건영",54000,2003,85,6,2096,1
"4563",2021-01-15,2021-01-01,"2021","11350","서울_노원","상계주공4","서울특별시 노원구 상계동 749-5 상계주공4",70000,1988,58,4,3983,1
"4564",2021-01-15,2021-01-01,"2021","11350","서울_노원","상계주공16","서울특별시 노원구 상계동 624 상계주공16",59900,1988,59,4,3350,1
"4565",2021-01-15,2021-01-01,"2021","11350","서울_노원","상계주공10","서울특별시 노원구 상계동 666 상계주공10",63000,1988,59,13,3524,1
"4566",2021-01-15,2021-01-01,"2021","11350","서울_노원","수락한신","서울특별시 노원구 상계동 1277 수락한신",47000,1997,60,3,2585,1
"4567",2021-01-15,2021-01-01,"2021","11350","서울_노원","상계주공10","서울특별시 노원구 상계동 666 상계주공10",60000,1988,50,5,3960,1
"4568",2021-01-15,2021-01-01,"2021","11350","서울_노원","상계주공16","서울특별시 노원구 상계동 624 상계주공16",54500,1988,59,11,3048,1
"4569",2021-01-15,2021-01-01,"2021","11350","서울_노원","상계주공16","서울특별시 노원구 상계동 624 상계주공16",41000,1988,46,13,2941,1
"4570",2021-01-16,2021-01-01,"2021","11350","서울_노원","우림루미아트1","서울특별시 노원구 상계동 1306 우림루미아트1",68500,2004,85,7,2659,1
"4571",2021-01-16,2021-01-01,"2021","11350","서울_노원","상계불암대림","서울특별시 노원구 상계동 1289 상계불암대림",56000,2000,59,8,3132,1
"4572",2021-01-16,2021-01-01,"2021","11350","서울_노원","벽산","서울특별시 노원구 상계동 173-1 벽산",38000,1989,43,9,2916,1
"4573",2021-01-16,2021-01-01,"2021","11350","서울_노원","벽산","서울특별시 노원구 상계동 173-1 벽산",52000,1989,60,9,2860,1
"4574",2021-01-16,2021-01-01,"2021","11350","서울_노원","미도","서울특별시 노원구 상계동 766-1 미도",85000,1988,88,13,3187,1
"4575",2021-01-16,2021-01-01,"2021","11350","서울_노원","극동늘푸른","서울특별시 노원구 상계동 1128 극동늘푸른",70000,2000,85,7,2718,1
"4576",2021-01-16,2021-01-01,"2021","11350","서울_노원","상계주공14","서울특별시 노원구 상계동 626 상계주공14",52000,1989,46,11,3730,1
"4577",2021-01-16,2021-01-01,"2021","11350","서울_노원","상계주공12","서울특별시 노원구 상계동 647 상계주공12",46000,1988,41,6,3702,1
"4578",2021-01-16,2021-01-01,"2021","11350","서울_노원","상계주공12","서울특별시 노원구 상계동 647 상계주공12",45000,1988,41,5,3622,1
"4579",2021-01-16,2021-01-01,"2021","11350","서울_노원","상계주공11","서울특별시 노원구 상계동 652 상계주공11",74000,1988,69,3,3539,1
"4580",2021-01-16,2021-01-01,"2021","11350","서울_노원","상계주공11","서울특별시 노원구 상계동 652 상계주공11",59400,1988,50,6,3920,1
"4581",2021-01-18,2021-01-01,"2021","11350","서울_노원","상계주공10","서울특별시 노원구 상계동 666 상계주공10",56700,1988,47,2,3981,1
"4582",2021-01-18,2021-01-01,"2021","11350","서울_노원","수락리버시티3단지","서울특별시 노원구 상계동 1312 수락리버시티3단지",73500,2009,85,15,2854,1
"4583",2021-01-18,2021-01-01,"2021","11350","서울_노원","상계주공4","서울특별시 노원구 상계동 749-5 상계주공4",54000,1988,37,5,4816,1
"4584",2021-01-18,2021-01-01,"2021","11350","서울_노원","임광","서울특별시 노원구 상계동 694 임광",112000,1989,106,7,3487,1
"4585",2021-01-18,2021-01-01,"2021","11350","서울_노원","벽산","서울특별시 노원구 상계동 173-1 벽산",41000,1989,47,6,2879,1
"4586",2021-01-18,2021-01-01,"2021","11350","서울_노원","보람2단지","서울특별시 노원구 상계동 639 보람2단지",68000,1988,69,2,3252,1
